# Generated with ADRIA.jl v0.15.1 on 2026-07-09_12_05_02_898
component,fieldname,val,ptype,dist,dist_params,default_dist_params,direction,lower_bound,upper_bound,is_constant,name,description
EnvironmentalLayer,dhw_scenario,1.0,unordered categorical,ADRIA.CategoricalDistribution,"(1.0, 2.0)","(1.0, 2.0)",,1.0,2.0,false,DHW Scenario,DHW scenario member identifier.
EnvironmentalLayer,wave_scenario,1.0,unordered categorical,ADRIA.CategoricalDistribution,"(1.0,)","(1.0,)",,1.0,1.0,true,Wave Scenario,Wave scenario member identifier.
EnvironmentalLayer,cyclone_mortality_scenario,1.0,unordered categorical,ADRIA.CategoricalDistribution,"(1.0,)","(1.0,)",,1.0,1.0,true,Cyclone Mortality,Cyclone mortality scenario identifier.
Intervention,guided,0.0,unordered categorical,ADRIA.CategoricalDistribution,"(-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0)","(-1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0)",,-1.0,5.0,false,Guided,Choice of MCDA approach.
Intervention,N_seed_TA,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 1.0e6, 50000.0)","(0.0, 1.0e6, 50000.0)",,0.0,1.0e6,false,Seeded Tabular Acropora,Number of Tabular Acropora to seed per deployment event.
Intervention,N_seed_CA,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 1.0e6, 50000.0)","(0.0, 1.0e6, 50000.0)",,0.0,1.0e6,false,Seeded Corymbose Acropora,Number of Corymbose Acropora to seed per deployment event.
Intervention,N_seed_CNA,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 1.0e6, 50000.0)","(0.0, 1.0e6, 50000.0)",,0.0,1.0e6,false,Seeded Corymbose non-Acropora,Number of Corymbose non-Acropora to seed per deployment event.
Intervention,N_seed_SM,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 1.0e6, 50000.0)","(0.0, 1.0e6, 50000.0)",,0.0,1.0e6,false,Seeded Small Massives,Number of small massives/encrusting to seed per deployment event.
Intervention,N_seed_LM,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 1.0e6, 50000.0)","(0.0, 1.0e6, 50000.0)",,0.0,1.0e6,false,Seeded Large Massives,Number of large massives/encrusting to seed per deployment event.
Intervention,N_mc_settlers,0.0,ordered discrete,DiscreteOrderedUniformDist,"(0.0, 2.5e7, 1.0e6)","(0.0, 2.5e7, 1.0e6)",,0.0,2.5e7,false,Moving corals settlers,Number of moving coral settlers added per deployment event.
